n_cargos,static_v3_cost_mean,static_v3_cost_min,static_v3_cost_max,static_v3_time_ms_median,static_v3_time_ms_min,static_v3_time_ms_max,static_v3_rounds,dynamic_v2_cost_mean,dynamic_v2_cost_min,dynamic_v2_cost_max,dynamic_v2_time_ms_median,dynamic_v2_time_ms_min,dynamic_v2_time_ms_max,dynamic_v2_rounds
57,10170.8353905949,9623.266336543014,10877.742267112159,5.384599993703887,4.811999999219552,6.162500008940697,12,9114.55294888276,8984.043410460601,9227.77339076823,30.526300019118935,29.61270001833327,32.25000001839362,12
58,10234.563727975808,9543.305003756916,10721.04259796227,5.177600003662519,4.690000001573935,5.905099998926744,12,9485.932821550015,9189.920807134164,9656.933138388242,31.387799986987375,29.792900022584945,36.6243000025861,12
59,10447.437711646946,9718.80528361415,11091.527364587917,5.775850004283711,5.077999987406656,8.299399982206523,12,9522.854574317302,9082.956978755037,9716.876406264808,33.403399982489645,31.219500000588596,34.0736000216566,12
60,10456.676237812258,9618.65218859921,10933.723899601517,5.387949990108609,5.177999992156401,5.87160000577569,12,9311.0401144904,9244.675992978864,9361.068244482694,32.29629999259487,30.37890000268817,37.31829999014735,12
61,10511.574474111056,9916.075948615051,11083.815198453496,8.248449987149797,5.534900003112853,9.547299996484071,13,9432.890698200326,9240.845901338438,9546.611049872057,35.9860999888042,32.36010001273826,54.432100005215034,13
62,10833.082931102974,10239.78252419714,11265.897768533869,5.72114999522455,4.777399997692555,6.291700003203005,13,10258.13361461326,10247.981727563354,10262.484423348933,34.02550000464544,33.20010000606999,38.055799988796934,13
63,10966.311591222315,10353.817552763305,11542.632234592831,6.01149997964967,5.032099987147376,6.758300005458295,13,9685.494824897503,9668.574374451598,9757.066173724643,35.27274999942165,34.511800011387095,39.4908000016585,13
64,10913.037060427461,10517.248071920609,11201.099172855644,5.7048500020755455,5.388899997342378,6.548900011694059,13,9488.851703745924,9413.41141823473,9538.595907845494,33.03125000093132,32.569300004979596,34.92179999011569,13
65,11245.23327701326,10405.544614026643,12276.768595178972,6.139499993878417,5.530499998712912,7.965299999341369,13,10063.945416979479,10063.945416979479,10063.945416979479,34.976800001459196,33.18359999684617,38.083899999037385,13
66,11286.898803796514,10491.127073651889,12211.216033159606,5.837450007675216,4.989599983673543,8.305399998789653,14,9938.162018393192,9938.162018393192,9938.162018393192,35.27230001054704,34.14749997318722,38.039500010199845,14
67,11419.042670573683,10886.133707615685,11913.025611774981,5.838649987708777,5.418599990662187,6.374400021741167,14,10127.794922193822,10085.187514015637,10181.071614529952,36.84875000908505,34.80419999687001,42.47119999490678,14
68,11638.83008481558,11214.308542188093,12389.508960508389,6.1340499960351735,5.595299997366965,7.375999994110316,14,10234.483279412721,10217.562828966817,10306.05462823986,38.069000001996756,36.47900000214577,41.95350001100451,14
69,11572.514652154134,11260.63026790992,12359.266066275168,5.918850001762621,5.466400005389005,6.8005000066477805,14,10867.927963271997,10731.301714254867,11050.366516694296,39.127099997131154,37.57389998645522,42.11179999401793,14
70,11857.769926527479,11439.481641962448,12410.55491387575,6.091300005209632,5.614900001091883,6.50430002133362,14,10598.825094761556,10459.337347527071,10816.382258123596,39.95019999274518,37.7038000151515,41.37970000738278,14
71,12183.796265806195,11785.16089845955,12632.536857948075,6.379400001605973,5.957699991995469,7.825200009392574,15,10712.980909841415,10602.708975197987,10987.160355589547,41.393599982257,39.172899996628985,43.73369997483678,15
72,12218.618926271472,11811.424131453241,12703.35189592712,6.466949998866767,6.135900010121986,7.144500006688759,15,11017.841288141577,10897.73197029351,11186.520980749428,42.529749989626,40.054600016446784,72.89149999269284,15
73,12520.752388525134,12100.815116417529,12804.38472960588,6.095749995438382,5.771399999503046,8.468000014545396,15,11380.211093271444,11255.2199206721,11467.593586692074,43.418400004156865,41.52489997795783,45.530400006100535,15
74,12427.948365355533,11654.01726925507,13152.907625793527,6.903350003995001,5.888399988180026,8.935900026699528,15,11205.48988929587,11162.991339892455,11251.076264293573,45.53094999573659,43.13279999769293,48.296699998900294,15
75,12668.936905541914,12377.65800103668,13242.62855424423,6.8109999992884696,6.320399988908321,7.947699981741607,15,11755.945713059777,11700.361392543287,11980.944984052034,47.336899995571,43.952500011073425,48.99999999906868,15
76,12759.207577645764,12217.159964522973,13680.713580638612,7.022949997917749,6.0421999951358885,7.729400007519871,16,12305.822824438337,12232.228054407282,12411.530640028002,47.693500004243106,45.31210000277497,49.653900001430884,16
